SKU,Pattern Name,Colorway Name,Image URL,High Res Image URL,Repeat,Price,Description
WP001-BL,Botanical Bliss,Navy Blue,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=800&h=600&fit=crop,24" x 32",$89.99,"Elegant botanical pattern featuring delicate leaf motifs in rich navy blue. Perfect for creating a sophisticated and calming atmosphere."
WP001-GR,Botanical Bliss,Forest Green,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop&sat=-50&hue=90,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=800&h=600&fit=crop&sat=-50&hue=90,24" x 32",$89.99,"The same beautiful botanical design in a deep forest green that brings nature indoors."
WP001-CR,Botanical Bliss,Cream & Gold,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=400&h=300&fit=crop&sat=-80&brightness=20,https://images.unsplash.com/photo-1578662996442-48f60103fc96?w=800&h=600&fit=crop&sat=-80&brightness=20,24" x 32",$89.99,"Luxurious cream background with subtle gold botanical accents for an upscale feel."
WP002-PK,Geometric Dreams,Blush Pink,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=800&h=600&fit=crop,18" x 24",$94.99,"Modern geometric pattern in soft blush pink tones. Contemporary design perfect for modern interiors."
WP002-TL,Geometric Dreams,Teal & White,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=400&h=300&fit=crop&hue=180,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=800&h=600&fit=crop&hue=180,18" x 24",$94.99,"Bold teal geometric shapes on crisp white background create a fresh and vibrant look."
WP002-CH,Geometric Dreams,Charcoal Gray,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=400&h=300&fit=crop&sat=-100,https://images.unsplash.com/photo-1557804506-669a67965ba0?w=800&h=600&fit=crop&sat=-100,18" x 24",$94.99,"Sophisticated charcoal geometric pattern that adds depth and interest to any space."
WP003-IV,Vintage Florals,Ivory & Rose,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=800&h=600&fit=crop,20" x 28",$79.99,"Classic vintage floral design featuring roses and peonies in soft ivory and pink tones."
WP003-LV,Vintage Florals,Lavender Field,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=400&h=300&fit=crop&hue=270&sat=30,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=800&h=600&fit=crop&hue=270&sat=30,20" x 28",$79.99,"Romantic lavender florals that bring a touch of French countryside charm to your home."
WP003-SG,Vintage Florals,Sage Green,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=400&h=300&fit=crop&hue=120&sat=-20,https://images.unsplash.com/photo-1516834474-48c0abc2a902?w=800&h=600&fit=crop&hue=120&sat=-20,20" x 28",$79.99,"Muted sage green florals perfect for creating a calming and natural environment."
WP004-WH,Abstract Waves,Pure White,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=400&h=300&fit=crop,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=800&h=600&fit=crop,16" x 20",$99.99,"Flowing abstract wave pattern in pristine white creates movement and texture."
WP004-OC,Abstract Waves,Ocean Blue,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=400&h=300&fit=crop&hue=200,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=800&h=600&fit=crop&hue=200,16" x 20",$99.99,"Dynamic ocean-inspired waves in varying shades of blue for a coastal feel."
WP004-SN,Abstract Waves,Sunset Orange,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=400&h=300&fit=crop&hue=30&sat=40,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=800&h=600&fit=crop&hue=30&sat=40,16" x 20",$99.99,"Warm sunset-inspired orange waves that add energy and warmth to any room."
